Chr	cStart	cEnd	NumTags	Fold	p-value
---	------	----	-------	----	-------
mouseY	35171	35831	49	2.59	7.1e-03
mouseY	127491	127531	25	1.59	2.5e-02
mouseY	149191	149711	74	1.30	2.9e-02
mouseY	165831	166811	44	1.19	2.9e-02
mouseY	306611	307591	40	1.12	3.0e-02
mouseY	324551	328591	53	1.04	3.0e-02
mouseY	329971	334431	149	1.13	3.0e-02
mouseY	336271	340831	173	1.14	3.0e-02
mouseY	344451	351191	79	1.11	3.0e-02
mouseY	355631	360891	206	1.17	2.9e-02
mouseY	368251	374811	282	1.37	2.8e-02
mouseY	380831	381391	105	1.45	2.7e-02
mouseY	384751	390471	355	1.18	2.9e-02
mouseY	402891	406151	465	1.77	2.4e-02
mouseY	414991	426551	162	1.22	2.9e-02
mouseY	428171	432691	113	1.11	3.0e-02
mouseY	439211	441331	139	1.21	2.9e-02
mouseY	447171	450331	135	1.43	2.7e-02
mouseY	454051	458311	89	1.57	2.5e-02
mouseY	486291	487731	64	1.12	3.0e-02
mouseY	491711	491751	73	1.36	2.8e-02
mouseY	494571	508791	454	2.47	7.5e-03
mouseY	510351	510391	52	1.97	2.4e-02
mouseY	514691	515131	78	1.09	3.0e-02
mouseY	521171	538211	161	2.19	7.8e-03
mouseY	541091	543511	103	1.18	2.9e-02
mouseY	545531	549011	278	1.50	2.7e-02
mouseY	551931	551971	98	2.02	7.8e-03
mouseY	555011	557011	57	1.26	2.9e-02
mouseY	562431	566811	492	39.50	2.5e-05
mouseY	576311	576531	111	1.78	2.4e-02
mouseY	580111	580151	47	1.31	2.9e-02
mouseY	582011	582051	27	1.22	2.9e-02
mouseY	583031	589391	287	1.44	2.7e-02
mouseY	590671	605011	257	1.15	3.0e-02
mouseY	609471	609511	31	1.17	2.9e-02
mouseY	612311	614631	82	1.16	3.0e-02
mouseY	615751	617731	139	1.30	2.9e-02
mouseY	618771	618831	22	1.33	2.9e-02
mouseY	619911	626651	194	1.64	2.5e-02
mouseY	628531	631711	136	1.26	2.9e-02
mouseY	634351	636851	64	1.15	3.0e-02
mouseY	643751	644911	39	1.03	3.0e-02
mouseY	648651	651871	139	5.71	1.1e-03
mouseY	653831	656371	73	1.24	2.9e-02
mouseY	658591	660471	74	1.39	2.8e-02
mouseY	662371	662971	145	1.20	2.9e-02
mouseY	667131	667171	51	1.23	2.9e-02
mouseY	673831	678591	254	1.50	2.7e-02
mouseY	679731	680951	157	1.32	2.9e-02
mouseY	682871	690871	176	1.43	2.7e-02
mouseY	693531	694451	84	1.31	2.9e-02
mouseY	699491	699531	60	1.38	2.8e-02
mouseY	706991	709831	133	1.15	3.0e-02
mouseY	713011	713771	73	1.12	3.0e-02
mouseY	715431	721451	661	1.77	2.4e-02
mouseY	727271	727311	38	1.03	3.0e-02
mouseY	730771	737791	180	1.44	2.7e-02
mouseY	741991	742031	100	1.55	2.5e-02
mouseY	745771	748311	135	1.68	2.4e-02
mouseY	760551	762731	76	1.10	3.0e-02
mouseY	769091	773271	199	1.46	2.7e-02
mouseY	775791	779971	103	1.69	2.4e-02
mouseY	784711	786351	67	1.21	2.9e-02
mouseY	790411	791511	110	1.45	2.7e-02
mouseY	800751	801631	49	1.74	2.4e-02
mouseY	807911	808131	40	1.64	2.5e-02
mouseY	811991	814311	162	1.32	2.9e-02
mouseY	816811	817451	100	1.65	2.5e-02
mouseY	818831	820231	197	1.39	2.8e-02
mouseY	824551	825731	136	1.43	2.7e-02
mouseY	828031	828131	28	1.25	2.9e-02
mouseY	829571	835091	163	1.20	2.9e-02
mouseY	851211	855811	123	1.56	2.5e-02
mouseY	857151	858331	118	1.56	2.5e-02
mouseY	860111	861691	110	2.47	7.5e-03
mouseY	865571	870011	144	1.54	2.5e-02
mouseY	871411	872691	139	1.30	2.9e-02
mouseY	874291	894371	215	29.19	6.0e-05
mouseY	896671	901631	194	4.28	1.7e-03
mouseY	906151	909371	439	31.93	3.6e-05
mouseY	912171	918211	146	3.19	3.1e-03
mouseY	921371	922631	53	1.62	2.5e-02
mouseY	925531	931171	272	10.37	4.2e-04
mouseY	932591	934371	171	1.70	2.4e-02
mouseY	936551	938591	210	1.33	2.9e-02
mouseY	940511	941691	76	1.23	2.9e-02
mouseY	944131	953491	280	1.69	2.4e-02
mouseY	960871	963271	188	1.21	2.9e-02
mouseY	965131	968411	172	1.34	2.8e-02
mouseY	972911	974731	191	3.44	3.0e-03
mouseY	977471	978751	36	1.23	2.9e-02
mouseY	982091	982971	246	1.10	3.0e-02
mouseY	987871	990111	241	1.31	2.9e-02
mouseY	991411	994351	164	1.42	2.7e-02
mouseY	995711	1004031	331	1.77	2.4e-02
mouseY	1005771	1005991	37	1.02	3.0e-02
mouseY	1009031	1010651	83	1.02	3.0e-02
mouseY	1011731	1022411	236	1.02	3.0e-02
mouseY	1029191	1033771	163	2.02	7.8e-03
mouseY	1037911	1049511	647	11.17	3.5e-04
mouseY	1053251	1067431	351	1.45	2.7e-02
mouseY	1068671	1068811	51	1.38	2.8e-02
mouseY	1076291	1079191	161	1.68	2.4e-02
mouseY	1081251	1082931	45	1.30	2.9e-02
mouseY	1084751	1085651	81	1.56	2.5e-02
mouseY	1091391	1092191	24	1.22	2.9e-02
mouseY	1095511	1097491	60	1.45	2.7e-02
mouseY	1099371	1099811	31	4.01	1.7e-03
mouseY	1101191	1102231	64	1.08	3.0e-02
mouseY	1103531	1103591	83	1.44	2.7e-02
mouseY	1105651	1106531	64	1.16	3.0e-02
mouseY	1351551	1352751	220	1.32	2.9e-02
mouseY	1358291	1367371	186	1.45	2.7e-02
mouseY	1374091	1384331	323	1.36	2.8e-02
mouseY	1401351	1404671	131	1.42	2.7e-02
mouseY	1409771	1446731	241	1.55	2.5e-02
mouseY	1455111	1469431	125	1.23	2.9e-02
mouseY	1474571	1476991	342	1.35	2.8e-02
mouseY	1482131	1482251	84	1.81	2.4e-02
mouseY	1484911	1486891	112	1.12	3.0e-02
mouseY	1494411	1503731	337	1.37	2.8e-02
mouseY	1510691	1511631	31	1.17	2.9e-02
mouseY	1522311	1522751	23	1.88	2.4e-02
mouseY	1523991	1531011	175	1.23	2.9e-02
mouseY	1532991	1541711	102	1.23	2.9e-02
mouseY	1544051	1545831	35	1.21	2.9e-02
mouseY	1548971	1550251	76	1.62	2.5e-02
mouseY	1553251	1553291	126	1.42	2.7e-02
mouseY	1566011	1572371	148	1.06	3.0e-02
mouseY	1574891	1581071	216	1.18	2.9e-02
mouseY	1586671	1588191	26	2.01	7.8e-03
mouseY	1592091	1592511	164	1.27	2.9e-02
mouseY	1595451	1598791	349	1.28	2.9e-02
mouseY	1619631	1619671	65	1.26	2.9e-02
mouseY	1629171	1637811	165	1.47	2.7e-02
mouseY	1657671	1665751	271	1.14	3.0e-02
mouseY	1676331	1682331	181	1.13	3.0e-02
mouseY	1691231	1692071	41	1.24	2.9e-02
mouseY	1694511	1694831	56	1.14	3.0e-02
mouseY	1702391	1702431	28	1.27	2.9e-02
mouseY	1712891	1712931	47	1.51	2.5e-02
mouseY	1728491	1730571	84	1.51	2.5e-02
mouseY	1742171	1742371	95	1.27	2.9e-02
mouseY	1753631	1757831	114	2.05	7.8e-03
mouseY	1759091	1759191	51	1.51	2.5e-02
mouseY	1791911	1795951	184	1.16	3.0e-02
mouseY	1798871	1805631	176	1.40	2.7e-02
mouseY	1812171	1817011	110	6.07	8.1e-04
mouseY	1821691	1825811	221	1.23	2.9e-02
mouseY	1828691	1829031	124	1.43	2.7e-02
mouseY	1832131	1833031	118	1.52	2.5e-02
mouseY	1834451	1838991	109	1.06	3.0e-02
mouseY	1845111	1850811	274	1.23	2.9e-02
mouseY	1853511	1858831	216	1.82	2.4e-02
mouseY	1861971	1862411	50	1.13	3.0e-02
mouseY	1865711	1865751	40	1.41	2.7e-02
mouseY	1875031	1876931	178	1.03	3.0e-02
mouseY	1880871	1881951	63	1.34	2.8e-02
mouseY	1883091	1894471	174	1.20	2.9e-02
mouseY	1897171	1902111	70	1.29	2.9e-02
mouseY	1920191	1923711	269	1.02	3.0e-02
mouseY	1925031	1928271	85	1.57	2.5e-02
mouseY	1952171	1955051	43	1.29	2.9e-02
mouseY	1958251	1958291	38	1.27	2.9e-02
mouseY	1965431	1965471	26	1.35	2.8e-02
mouseY	1970011	1971911	195	1.11	3.0e-02
mouseY	1982951	1985771	88	1.04	3.0e-02
mouseY	1993611	2007931	265	1.29	2.9e-02
mouseY	2009771	2010771	176	1.44	2.7e-02
mouseY	2041791	2046991	217	1.25	2.9e-02
mouseY	2047991	2054531	238	1.40	2.8e-02
mouseY	2058351	2058391	30	1.06	3.0e-02
mouseY	2082591	2082891	52	1.11	3.0e-02
mouseY	2086111	2086151	32	1.66	2.5e-02
mouseY	2099591	2101511	46	1.30	2.9e-02
mouseY	2105451	2105491	64	1.32	2.9e-02
mouseY	2113171	2129531	237	2.67	7.1e-03
